car_sale_id,Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
3241BCE5-16B8-08AD-7678-ECD11D6C887E,AUDI,AUDI Q3,7_19,12674,13987,12550,15598,16640,14277,13855,12025,6833,481,0,0,0,0,0,0,0,0,0,0
CA6A1761-7A64-6641-11AD-A55683EC204E,AUDI,AUDI Q5,7_20,8364,12148,11504,9167,9620,8950,7582,5796,4881,5819,3913,4111,210,0,0,0,0,0,0,0
B4BDD81A-20A3-7051-7D6E-CC5E0F97A78E,AUDI,AUDI Q7,7_21,3927,4606,4092,4309,4827,3282,3319,3382,2423,1883,1607,1354,2717,3952,1693,0,0,0,0,0
857E3F3F-A142-63FE-16B6-49B70F2D75B4,AUDI,AUDI Q8,7_49,933,1813,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B57AF9ED-6EEA-5C4A-1D12-D08B2F8D15B7,AUDI,AUDI QUATTRO,7_22,0,0,1,0,0,0,1,1,32,387,92,0,2,1,1,0,0,2,5,6
A6CF05C6-4B65-34F6-2AAE-E2611ED3376E,AUDI,AUDI R8,7_23,121,131,254,298,331,192,210,203,132,243,291,261,493,263,0,0,0,0,0,0
FCE48662-9DFD-278C-203D-9D160F3E7B56,AUDI,AUDI RIO,7_35,0,0,1,0,0,2,1,6,84,163,465,602,367,0,0,0,0,0,2,0
841D7F76-8B5B-26BC-96A8-86B7D57F0512,AUDI,AUDI RS3,7_25,312,837,1145,782,1107,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95689EEA-54F7-870B-196B-A71A22B995BA,AUDI,AUDI RS4,7_26,491,249,550,3,0,429,776,476,53,0,0,1,57,1082,946,0,0,0,3,126
9B0F4800-13D4-A69F-97C6-9320B4DC7397,AUDI,AUDI RS5,7_30,162,407,37,0,2,228,323,215,69,0,0,0,0,0,0,0,0,0,0,0
D88540CF-65BD-52E6-3AA7-CE3A015692CB,AUDI,AUDI RS6,7_31,663,0,200,633,649,622,446,126,0,0,55,200,218,0,0,26,132,290,38,0
EC532819-0495-6393-0C9A-53ACD25E0BA4,AUDI,AUDI RS7,7_33,127,0,9,84,125,109,108,7,0,0,0,0,0,0,0,0,0,0,0,0
2F7E139B-674C-710E-2370-211F22E81313,AUDI,AUDI RSQ3,7_24,697,37,0,0,229,310,411,11,0,0,0,0,1,0,0,0,0,0,0,0
DD4145B0-2189-98E9-7CEC-9038A35629E7,AUDI,AUDI S1,7_34,0,1,307,637,586,908,429,0,0,0,0,0,0,0,0,0,0,0,0,0
98766613-A02F-5634-6456-7B3231735A46,AUDI,AUDI S3,7_35,1404,2705,3017,4917,4144,3787,2808,459,582,804,700,269,579,1157,89,0,2,310,500,436
3F8344E7-4358-A40A-314A-517EC9677489,AUDI,AUDI S4,7_36,676,227,1334,2016,101,416,398,384,389,486,600,374,57,226,360,429,611,188,0,29
D17C503F-6561-9960-5BD4-64463F8597C7,AUDI,AUDI S5,7_39,257,85,2283,3350,764,722,422,318,261,539,601,143,575,408,0,0,0,0,0,0
7012DFA5-7CA9-A3B7-22BB-359D10648B07,AUDI,AUDI S6,7_41,84,117,151,165,117,96,79,88,61,1,28,17,41,92,100,0,4,19,31,29
DCE65EB9-9C11-710A-3C1B-1495061B22DA,AUDI,AUDI S7,7_42,66,70,7,54,68,117,50,66,34,0,0,0,0,0,0,0,0,0,0,0
4639C31D-57C0-7999-508F-2B7835BB3E01,AUDI,AUDI S8,7_43,23,0,0,62,210,175,69,56,37,0,6,18,56,96,75,0,0,5,70,45
F08B272B-97C2-1F68-7C1E-196BED73316C,AUDI,AUDI SQ2,7_50,366,881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCA7BE12-A143-50D3-7C13-02CD3242083D,AUDI,AUDI SQ5,7_44,1198,464,2046,1237,2046,2172,1775,685,0,0,0,0,0,0,0,0,0,1,0,0
7E5AA1FB-8B09-63EC-76F4-2A27B4AB8CA7,AUDI,AUDI SQ7,7_45,568,170,871,1016,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D75D43C0-14D5-4FBC-5FF2-A6C25CBF36C8,AUDI,AUDI TT,7_46,178,331,1875,2856,1837,1485,3298,5973,5507,6507,6524,6208,7497,8371,3190,4047,5527,5827,5115,3606
35E47A48-53A7-8AFC-81D7-30D84FAF03B8,AUDI,AUDI TTRS,7_47,145,216,334,110,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DB2B0AEB-80B2-3B21-9F68-15A3E8A35E09,AUDI,AUDI TTS,7_48,2716,4003,1836,3992,6977,7105,590,368,133,0,1,0,0,0,0,0,0,0,0,0
9C1ED15D-6934-3E8C-766D-03C6CAC360EE,BENTLEY,BENTLEY ARNAGE,10_1,0,0,0,0,0,0,0,0,1,0,5,29,40,61,73,106,90,106,134,193
224091F4-0A60-82C3-0D52-7E1737AF4576,BENTLEY,BENTLEY AZURE,10_2,0,0,0,0,0,0,0,0,0,1,5,10,14,28,21,0,0,11,8,12
C8502BA2-99C1-7575-3AE3-73726B8C613B,BENTLEY,BENTLEY BENTAYGA,10_3,436,387,526,545,342,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4A6D4285-2FF9-77AB-2D5E-E1972FF74359,BENTLEY,BENTLEY BROOKLANDS,10_4,0,0,0,0,0,0,0,0,0,1,3,16,28,0,0,0,0,0,0,0
17A013BA-548D-7774-44C4-3491C84D93DB,BENTLEY,BENTLEY CONTINENTAL,10_5,699,835,600,619,808,774,713,683,704,517,477,403,821,1242,1033,1157,1111,14,11,10
