car_price_id,Maker,Genmodel,Genmodel_ID,Year,Entry_price
D3FEABDA-1338-8BEC-84D8-185595105F09,Aston Martin,DB7,6_3,1998,84950
104E69FA-25CA-A2A6-7C76-A675553D44DA,Aston Martin,DB7,6_3,1999,84950
A2FC6119-8357-0D11-29EE-F6F46A09380E,Aston Martin,DB7,6_3,2000,84950
68F76168-516E-1EA0-3E27-3C56203C79ED,Aston Martin,DB7,6_3,2001,78500
660C8577-6E01-4936-33D5-D02AC4F2893C,Aston Martin,DB7,6_3,2002,94500
06E18D59-5BC0-07A0-1107-1010E68E2F06,Aston Martin,DB7,6_3,2003,97561
B88FC8D9-6A4F-1DC5-938A-212B6BCD08D0,Aston Martin,DB7,6_3,2004,97561
BE370FF9-90D4-3420-8B83-A502C3200710,Aston Martin,DB9,6_4,2004,103711
A441A14B-1883-1900-124D-A83FE01686B2,Aston Martin,DB9,6_4,2005,103711
EA7B5CC1-138C-64C1-5CED-04B24C0866CC,Aston Martin,DB9,6_4,2006,107561
A43FF442-20ED-A641-6291-9DA83B649493,Aston Martin,DB9,6_4,2007,110637
374EB489-7067-611C-6CD6-DEAD45F258F8,Aston Martin,DB9,6_4,2008,111737
4FDD86DF-93E3-9224-0B14-F6EBE6DA3589,Aston Martin,DB9,6_4,2009,109360
AAA80373-5459-538E-5796-C367A638A0ED,Aston Martin,DB9,6_4,2010,120337
8CC49561-7033-4933-3121-41B067D215A6,Aston Martin,DB9,6_4,2011,123332
D5F27FBE-309B-9AFD-2E55-CDA82BD02B93,Aston Martin,DB9,6_4,2012,125937
3B2C39A2-46F4-43DF-8D2A-54A6E2AD9D78,Aston Martin,DB9,6_4,2013,125937
FBC9E449-1EDF-66E8-173B-871E33D631ED,Aston Martin,DB9,6_4,2014,132882
7EBA4501-0B65-41BB-25E0-4BE9438A85AF,Aston Martin,DB9,6_4,2015,134382
89E8AD03-9953-36AE-4CE6-29D214DF1F12,Aston Martin,DB9,6_4,2016,140887
B652E5C7-6002-76E3-29D3-D0AEBD002483,Aston Martin,DB9,6_4,2017,152887
3FBFA8C6-160F-5A5A-2CA8-4C5B6DE65752,Aston Martin,DB9,6_4,2018,152887
